"","platform","year_of_release","genre","publisher","global_sales","critic_score","rating","developer","name","na_sales","eu_sales","jp_sales","other_sales","critic_count","user_score","user_count"
"29","PS2",2001,"Racing","Sony Computer Entertainment",14.98,95,"E","Polyphony Digital","Gran Turismo 3: A-Spec",6.85,5.09,1.87,1.16,54,8.4,314
"30","X360",2011,"Shooter","Activision",14.73,88,"M","Infinity Ward, Sledgehammer Games","Call of Duty: Modern Warfare 3",9.04,4.24,0.13,1.32,81,3.4,8713
"31","GB",1998,"Role-Playing","Nintendo",14.64,NA,NA,NA,"Pokémon Yellow: Special Pikachu Edition",5.89,5.04,3.12,0.59,NA,NA,NA
"32","PS4",2015,"Shooter","Activision",14.63,NA,NA,NA,"Call of Duty: Black Ops 3",6.03,5.86,0.36,2.38,NA,NA,NA
"33","X360",2010,"Shooter","Activision",14.61,87,"M","Treyarch","Call of Duty: Black Ops",9.7,3.68,0.11,1.13,89,6.3,1454
"34","3DS",2013,"Role-Playing","Nintendo",14.6,NA,NA,NA,"Pokemon X/Pokemon Y",5.28,4.19,4.35,0.78,NA,NA,NA
"35","PS3",2012,"Shooter","Activision",13.79,83,"M","Treyarch","Call of Duty: Black Ops II",4.99,5.73,0.65,2.42,21,5.3,922
"36","X360",2012,"Shooter","Activision",13.67,83,"M","Treyarch","Call of Duty: Black Ops II",8.25,4.24,0.07,1.12,73,4.8,2256
"37","X360",2009,"Shooter","Activision",13.47,94,"M","Infinity Ward","Call of Duty: Modern Warfare 2",8.52,3.59,0.08,1.28,100,6.3,2698
"38","PS3",2011,"Shooter","Activision",13.32,88,"M","Infinity Ward, Sledgehammer Games","Call of Duty: Modern Warfare 3",5.54,5.73,0.49,1.57,39,3.2,5234
"39","PS2",2001,"Action","Take-Two Interactive",13.1,97,"M","DMA Design","Grand Theft Auto III",6.99,4.51,0.3,1.3,56,8.5,664
"40","Wii",2008,"Fighting","Nintendo",12.84,93,"T","Game Arts","Super Smash Bros. Brawl",6.62,2.55,2.66,1.01,81,8.9,1662
"41","3DS",2011,"Racing","Nintendo",12.66,85,"E","Retro Studios, Entertainment Analysis & Development Division","Mario Kart 7",5.03,4.02,2.69,0.91,73,8.2,632
"42","PS3",2010,"Shooter","Activision",12.63,88,"M","Treyarch","Call of Duty: Black Ops",5.99,4.37,0.48,1.79,58,6.4,1094
"43","PS4",2014,"Action","Take-Two Interactive",12.61,97,"M","Rockstar North","Grand Theft Auto V",3.96,6.31,0.38,1.97,66,8.3,2899
"44","DS",2005,"Simulation","Nintendo",12.13,86,"E","Nintendo","Animal Crossing: Wild World",2.5,3.45,5.33,0.86,57,8.7,242
"45","X360",2007,"Shooter","Microsoft Game Studios",12.12,94,"M","Bungie Software, Bungie","Halo 3",7.97,2.81,0.13,1.21,86,7.8,4100
"46","N64",1996,"Platform","Nintendo",11.89,NA,NA,NA,"Super Mario 64",6.91,2.85,1.91,0.23,NA,NA,NA
"47","DS",2009,"Action","Nintendo",11.77,NA,NA,NA,"Pokemon HeartGold/Pokemon SoulSilver",4.34,2.71,3.96,0.76,NA,NA,NA
"48","3DS",2014,"Role-Playing","Nintendo",11.68,NA,NA,NA,"Pokemon Omega Ruby/Pokemon Alpha Sapphire",4.35,3.49,3.1,0.74,NA,NA,NA
"49","PS2",2004,"Racing","Sony Computer Entertainment",11.66,89,"E","Polyphony Digital","Gran Turismo 4",3.01,0.01,1.1,7.53,74,8.5,272
"50","Wii",2007,"Platform","Nintendo",11.35,97,"E","Nintendo","Super Mario Galaxy",6.06,3.35,1.2,0.74,73,8.9,2147
"51","GB",1992,"Adventure","Nintendo",11.18,NA,NA,NA,"Super Mario Land 2: 6 Golden Coins",6.16,2.04,2.69,0.29,NA,NA,NA
"52","X360",2008,"Action","Take-Two Interactive",11.01,98,"M","Rockstar North","Grand Theft Auto IV",6.76,3.07,0.14,1.03,86,7.9,2951
"53","PS",1997,"Racing","Sony Computer Entertainment",10.95,96,"E","Polyphony Digital","Gran Turismo",4.02,3.87,2.54,0.52,16,8.7,138
"54","3DS",2011,"Platform","Nintendo",10.81,90,"E","Nintendo","Super Mario 3D Land",4.89,3,2.14,0.78,82,8.4,921
"55","PS3",2010,"Racing","Sony Computer Entertainment",10.7,84,"E","Polyphony Digital","Gran Turismo 5",2.96,4.82,0.81,2.11,82,7.5,1112
"56","PS3",2009,"Shooter","Activision",10.6,94,"M","Infinity Ward","Call of Duty: Modern Warfare 2",4.99,3.64,0.38,1.6,67,6.3,2073
"57","SNES",1993,"Platform","Nintendo",10.55,NA,NA,NA,"Super Mario All-Stars",5.99,2.15,2.12,0.29,NA,NA,NA
"58","PS3",2008,"Action","Take-Two Interactive",10.5,98,"M","Rockstar North","Grand Theft Auto IV",4.76,3.69,0.44,1.61,64,7.5,2833
"59","GBA",2004,"Role-Playing","Nintendo",10.49,NA,NA,NA,"Pokemon FireRed/Pokemon LeafGreen",4.34,2.65,3.15,0.35,NA,NA,NA
"60","DS",2004,"Platform","Nintendo",10.3,NA,NA,NA,"Super Mario 64",5.01,3.07,1.25,0.97,NA,NA,NA
"61","X360",2013,"Shooter","Activision",10.25,73,"M","Infinity Ward","Call of Duty: Ghosts",6.73,2.56,0.04,0.91,29,2.6,2117
"62","Wii",2011,"Misc","Ubisoft",10.12,74,"E10+","Ubisoft","Just Dance 3",5.95,3.11,0,1.06,15,7.8,16
"63","3DS",2012,"Platform","Nintendo",9.9,78,"E","Nintendo","New Super Mario Bros. 2",3.66,3.14,2.47,0.63,70,7.2,424
"64","N64",1996,"Racing","Nintendo",9.87,NA,NA,NA,"Mario Kart 64",5.55,1.94,2.23,0.15,NA,NA,NA
"65","X360",2010,"Shooter","Microsoft Game Studios",9.86,91,"M","Bungie","Halo: Reach",7.04,1.95,0.08,0.79,99,7.9,2045
"66","PS",1997,"Role-Playing","Sony Computer Entertainment",9.72,92,"T","SquareSoft","Final Fantasy VII",3.01,2.47,3.28,0.96,20,9.2,1282
"67","X360",2012,"Shooter","Microsoft Game Studios",9.71,87,"M","343 Industries","Halo 4",6.65,2.28,0.04,0.74,87,7,3260
"68","PS",1999,"Racing","Sony Computer Entertainment",9.49,93,"T","Polyphony Digital","Gran Turismo 2",3.88,3.42,1.69,0.5,23,9,135
"69","Wii",2010,"Misc","Ubisoft",9.44,74,"E10+","Ubisoft","Just Dance 2",5.8,2.85,0.01,0.78,24,7.3,24
"70","PS3",2013,"Shooter","Activision",9.36,71,"M","Infinity Ward","Call of Duty: Ghosts",4.1,3.63,0.38,1.25,10,2.6,1047
"71","X360",2007,"Shooter","Activision",9.31,94,"M","Infinity Ward","Call of Duty 4: Modern Warfare",5.93,2.36,0.13,0.9,70,8.4,1320
"72","SNES",1994,"Platform","Nintendo",9.3,NA,NA,NA,"Donkey Kong Country",4.36,1.71,3,0.23,NA,NA,NA
"73","X360",2013,"Misc","Microsoft Game Studios",9.18,NA,NA,NA,"Minecraft",5.7,2.65,0.02,0.81,NA,NA,NA
"74","3DS",2012,"Simulation","Nintendo",9.16,88,"E","Nintendo","Animal Crossing: New Leaf",2.03,2.36,4.39,0.39,70,8.7,626
"75","DS",2007,"Misc","Nintendo",8.91,72,"E","Hudson Soft","Mario Party DS",4.4,1.85,1.98,0.68,27,7.8,85
"76","X360",2011,"Role-Playing","Bethesda Softworks",8.79,96,"M","Bethesda Game Studios","The Elder Scrolls V: Skyrim",5.05,2.79,0.1,0.85,89,8.4,3589
"77","SNES",1992,"Racing","Nintendo",8.76,NA,NA,NA,"Super Mario Kart",3.54,1.24,3.81,0.18,NA,NA,NA
"78","PS4",2015,"Sports","Electronic Arts",8.57,82,"E","EA Sports","FIFA 16",1.12,6.12,0.06,1.28,42,4.3,896
"79","XB",2004,"Shooter","Microsoft Game Studios",8.49,95,"M","Bungie Software","Halo 2",6.82,1.53,0.05,0.08,91,8.2,1218
"80","Wii",2010,"Misc","Nintendo",8.38,68,"E","Nd Cube","Wii Party",1.75,3.47,2.49,0.67,42,7.4,54
"81","Wii",2007,"Misc","Nintendo",8.27,62,"E","Hudson","Mario Party 8",3.74,2.24,1.58,0.7,41,6.3,190
"82","PS3",2012,"Action","Electronic Arts",8.16,88,"E","Electronic Arts","FIFA Soccer 13",1.06,5.01,0.13,1.97,37,6.6,348
"83","N64",1997,"Shooter","Nintendo",8.09,NA,NA,NA,"GoldenEye 007",5.8,2.01,0.13,0.15,NA,NA,NA
"84","DS",2012,"Role-Playing","Nintendo",8.07,NA,NA,NA,"Pokemon Black 2/Pokemon White 2",2.79,1.72,3.14,0.41,NA,NA,NA
"85","PS2",2001,"Role-Playing","Sony Computer Entertainment",8.05,92,"T","SquareSoft","Final Fantasy X",2.91,2.07,2.73,0.33,53,8.7,1056
"86","PC",2009,"Simulation","Electronic Arts",8.01,86,"T","The Sims Studio","The Sims 3",0.99,6.42,0,0.6,75,7.6,886
"87","Wii",2007,"Sports","Sega",7.99,NA,NA,NA,"Mario & Sonic at the Olympic Games",2.57,3.86,0.66,0.91,NA,NA,NA
"88","PS4",2015,"Shooter","Electronic Arts",7.98,NA,NA,NA,"Star Wars Battlefront (2015)",2.99,3.49,0.22,1.28,NA,NA,NA
"89","PS",1999,"Role-Playing","SquareSoft",7.86,90,"T","SquareSoft","Final Fantasy VIII",2.28,1.72,3.63,0.23,24,8.6,644
"90","2600",1982,"Puzzle","Atari",7.81,NA,NA,NA,"Pac-Man",7.28,0.45,0,0.08,NA,NA,NA
"91","DS",2008,"Role-Playing","Nintendo",7.72,83,"E","Game Freak","Pokémon Platinum Version",2.76,1.72,2.69,0.54,46,8.5,203
"92","PSP",2005,"Action","Take-Two Interactive",7.69,88,"M","Rockstar Leeds","Grand Theft Auto: Liberty City Stories",2.9,2.81,0.24,1.73,65,7.6,451
"93","PS4",2014,"Shooter","Activision",7.66,83,"M","Sledgehammer Games","Call of Duty: Advanced Warfare",2.81,3.48,0.14,1.23,39,5.7,1443
"94","N64",1998,"Action","Nintendo",7.6,NA,NA,NA,"The Legend of Zelda: Ocarina of Time",4.1,1.89,1.45,0.16,NA,NA,NA
"95","PS4",2016,"Sports","Electronic Arts",7.59,85,"E","EA Sports, EA Vancouver","FIFA 17",0.66,5.75,0.08,1.11,41,5,398
"96","PS",1997,"Platform","Sony Computer Entertainment",7.58,NA,NA,NA,"Crash Bandicoot 2: Cortex Strikes Back",3.78,2.17,1.31,0.31,NA,NA,NA
"97","3DS",2014,"Fighting","Nintendo",7.55,NA,NA,NA,"Super Smash Bros. for Wii U and 3DS",3.27,1.37,2.43,0.48,NA,NA,NA
"98","Wii",2010,"Platform","Nintendo",7.51,97,"E","Nintendo EAD Tokyo","Super Mario Galaxy 2",3.56,2.35,0.98,0.62,87,9.1,1854
"99","NES",1988,"Platform","Nintendo",7.46,NA,NA,NA,"Super Mario Bros. 2",5.39,1.18,0.7,0.19,NA,NA,NA
"100","XOne",2015,"Shooter","Activision",7.39,NA,NA,NA,"Call of Duty: Black Ops 3",4.59,2.11,0.01,0.68,NA,NA,NA
"101","X360",2008,"Shooter","Activision",7.38,84,"M","Treyarch","Call of Duty: World at War",4.81,1.88,0,0.69,84,7.6,580
"102","X360",2011,"Shooter","Electronic Arts",7.32,84,"M","EA DICE","Battlefield 3",4.46,2.11,0.06,0.69,57,7.4,2142
"103","PS2",2003,"Racing","Electronic Arts",7.2,85,"E","EA Black Box","Need for Speed Underground",3.27,2.83,0.08,1.02,33,8.6,171
"104","Wii",2009,"Misc","Ubisoft",7.2,49,"E10+","Ubisoft Paris","Just Dance",3.48,2.99,0,0.73,21,8,110
"105","PS3",2011,"Shooter","Electronic Arts",7.17,85,"M","EA DICE","Battlefield 3",2.85,2.89,0.35,1.08,38,7.5,1761
"106","PS4",2015,"Role-Playing","Bethesda Softworks",7.16,87,"M","Bethesda Game Studios","Fallout 4",2.53,3.27,0.24,1.13,58,6.5,4228
"107","PS",1998,"Fighting","Sony Computer Entertainment",7.16,96,"T","Namco","Tekken 3",3.27,2.22,1.4,0.29,15,9.1,367
"108","Wii",2006,"Action","Nintendo",7.15,95,"T","Nintendo","The Legend of Zelda: Twilight Princess",3.74,2.14,0.6,0.68,73,9,1658
"109","3DS",2016,"Role-Playing","Nintendo",7.14,NA,NA,NA,"Pokemon Sun/Moon",2.98,1.45,2.26,0.45,NA,NA,NA
"110","PS",1998,"Platform","Sony Computer Entertainment",7.13,91,"E","Naughty Dog","Crash Bandicoot 3: Warped",3.68,1.75,1.42,0.28,12,8.9,432
"111","WiiU",2014,"Racing","Nintendo",7.09,88,"E","Nintendo","Mario Kart 8",3.15,2.15,1.28,0.51,82,9.1,1599
"112","GC",2001,"Fighting","Nintendo",7.07,92,"T","HAL Labs","Super Smash Bros. Melee",4.41,1.04,1.39,0.22,38,9.1,568
"113","GC",2003,"Racing","Nintendo",6.95,NA,NA,NA,"Mario Kart: Double Dash!!",4.12,1.77,0.87,0.19,NA,NA,NA
"114","PS2",2004,"Racing","Electronic Arts",6.9,82,"E","EA Canada","Need for Speed Underground 2",2.71,3.02,0.08,1.09,39,8.6,132
"115","PS2",2002,"Shooter","Electronic Arts",6.83,88,"T","EA LA","Medal of Honor: Frontline",2.93,2.75,0.17,0.99,29,8.5,135
"116","PS",1996,"Platform","Sony Computer Entertainment",6.82,NA,NA,NA,"Crash Bandicoot",3.23,2.35,0.94,0.3,NA,NA,NA
"117","Wii",2012,"Misc","Ubisoft",6.76,74,"E10+","Ubisoft","Just Dance 4",4.05,2.16,0,0.55,10,7.3,28
"118","X360",2008,"Shooter","Microsoft Game Studios",6.75,93,"M","Epic Games","Gears of War 2",4.15,1.9,0.06,0.64,90,7.7,2739
"119","PS3",2011,"Action","Sony Computer Entertainment",6.74,92,"T","Naughty Dog","Uncharted 3: Drake's Deception",2.77,2.75,0.19,1.03,97,8.3,3712
"120","Wii",2010,"Sports","505 Games",6.71,NA,"E","Pipeworks Software, Inc.","Zumba Fitness",3.45,2.59,0,0.66,NA,NA,NA
"121","PS3",2007,"Shooter","Activision",6.68,94,"M","Infinity Ward","Call of Duty 4: Modern Warfare",3.11,2.26,0.28,1.03,44,8.4,993
"122","PS3",2009,"Action","Sony Computer Entertainment",6.66,96,"T","Naughty Dog","Uncharted 2: Among Thieves",3.27,2.2,0.21,0.98,105,8.8,5187
"123","PS3",2011,"Sports","Electronic Arts",6.65,NA,NA,NA,"FIFA 12",0.84,4.3,0.11,1.39,NA,NA,NA
"124","DS",2005,"Misc","Nintendo",6.62,74,"E","Nintendo","Big Brain Academy",1.66,2.75,1.6,0.62,45,7.4,27
"125","NES",1986,"Action","Nintendo",6.51,NA,NA,NA,"The Legend of Zelda",3.74,0.93,1.69,0.14,NA,NA,NA
"126","PS3",2010,"Action","Take-Two Interactive",6.49,95,"M","Rockstar San Diego","Red Dead Redemption",2.79,2.53,0.17,0.99,73,8.8,2456
"127","PS3",2013,"Sports","Electronic Arts",6.47,86,"E","EA Canada","FIFA 14",0.78,4.24,0.07,1.37,37,4.3,576
"128","PS3",2012,"Action","Ubisoft",6.45,85,"M","Ubisoft","Assassin's Creed III",2.64,2.52,0.16,1.12,41,6.9,1307
"129","Wii",2010,"Platform","Nintendo",6.44,87,"E","Retro Studios","Donkey Kong Country Returns",3.17,1.79,1.03,0.46,77,8.6,368
"130","XB",2001,"Shooter","Microsoft Game Studios",6.43,97,"M","Bungie Software","Halo: Combat Evolved",4.98,1.3,0.08,0.07,68,8.6,1283
"131","PS3",2011,"Role-Playing","Bethesda Softworks",6.41,92,"M","Bethesda Game Studios","The Elder Scrolls V: Skyrim",2.55,2.6,0.25,1,16,6.4,2527
"132","GBA",2004,"Role-Playing","Nintendo",6.41,76,"E","Game Freak","Pokémon Emerald Version",2.57,1.58,2.06,0.21,28,9,222
"133","PS2",2002,"Role-Playing","Sony Computer Entertainment",6.4,85,"E","SquareSoft","Kingdom Hearts",3.64,1.2,1.49,0.07,46,8.8,597
"134","GB",2000,"Role-Playing","Nintendo",6.39,NA,NA,NA,"Pokémon Crystal Version",2.55,1.56,1.29,0.99,NA,NA,NA
"135","X360",2009,"Shooter","Microsoft Game Studios",6.34,83,"M","Bungie Software, Bungie","Halo 3: ODST",4.34,1.34,0.06,0.61,94,7.1,1163
"136","X360",2010,"Action","Take-Two Interactive",6.32,95,"M","Rockstar San Diego","Red Dead Redemption",3.7,1.95,0.09,0.58,96,9,2316
"137","GC",2002,"Platform","Nintendo",6.31,92,"E","Nintendo","Super Mario Sunshine",4.01,1.26,0.87,0.17,61,8.6,439
"138","SNES",1992,"Fighting","Capcom",6.3,NA,NA,NA,"Street Fighter II: The World Warrior",2.47,0.83,2.87,0.12,NA,NA,NA
"139","PC",2004,"Role-Playing","Activision",6.29,93,"T","Blizzard Entertainment","World of Warcraft",0.08,6.21,0,0,57,7.3,2182
"140","PS",1999,"Action","GT Interactive",6.27,87,"T","Reflections Interactive","Driver",3.11,2.8,0.02,0.33,22,8.1,78
"141","X360",2011,"Shooter","Microsoft Game Studios",6.21,91,"M","Epic Games","Gears of War 3",4.05,1.59,0.07,0.5,96,7.8,1504
"142","X360",2010,"Sports","Microsoft Game Studios",6.19,73,"E10+","Rare Ltd.","Kinect Sports",3.92,1.73,0.03,0.51,51,7.4,95
"143","X360",2006,"Shooter","Microsoft Game Studios",6.09,94,"M","Epic Games","Gears of War",3.54,1.88,0.07,0.6,88,8.3,2295
"144","PS4",2014,"Sports","Electronic Arts",6.08,82,"E","EA Sports","FIFA 15",0.8,4.33,0.05,0.9,47,5.7,988
"145","PS2",2001,"Action","Konami Digital Entertainment",6.05,96,"M","KCEJ","Metal Gear Solid 2: Sons of Liberty",2.45,2.01,0.87,0.72,42,8.7,1026
"146","GEN",1992,"Platform","Sega",6.03,NA,NA,NA,"Sonic the Hedgehog 2",4.47,1.2,0.16,0.19,NA,NA,NA
"147","PS",1998,"Action","Konami Digital Entertainment",6.03,94,"M","KCEJ","Metal Gear Solid",3.18,1.83,0.78,0.24,20,9.4,918
"148","PS3",2008,"Action","Konami Digital Entertainment",5.99,94,"M","Kojima Productions","Metal Gear Solid 4: Guns of the Patriots",2.63,1.71,0.83,0.82,82,8.7,3558
"149","PS2",2006,"Role-Playing","Square Enix",5.95,92,"T","Square Enix","Final Fantasy XII",1.88,0,2.33,1.74,64,7.6,972
"150","PS3",2013,"Action","Sony Computer Entertainment Europe",5.87,95,"M","Naughty Dog","The Last of Us",2.41,2.18,0.28,0.99,98,9.1,8003
"151","PS3",2008,"Platform","Sony Computer Entertainment",5.82,95,"E","SCE/WWS, Media Molecule","LittleBigPlanet",2.8,1.98,0.17,0.87,85,6.8,5311
"152","PS",1998,"Action","Virgin Interactive",5.82,89,"M","Capcom","Resident Evil 2",1.88,1.47,2.02,0.45,13,9.2,364
"153","DS",2009,"Role-Playing","Nintendo",5.78,87,"E10+","Level 5","Dragon Quest IX: Sentinels of the Starry Skies",0.63,0.67,4.35,0.15,65,8.8,197
"154","PS",1996,"Fighting","Sony Computer Entertainment",5.74,89,"T","Namco","Tekken 2",2.26,1.89,1.36,0.23,8,8.9,102
"155","PS4",2014,"Shooter","Activision",5.64,76,"T","Bungie Software, Bungie","Destiny",2.49,2.07,0.16,0.92,95,6.1,5380
"156","Wii",2007,"Action","LucasArts",5.64,80,"E10+","Traveller's Tales","LEGO Star Wars: The Complete Saga",3.57,1.55,0,0.51,17,8.9,62
"157","DS",2006,"Simulation","505 Games",5.63,67,"E","Taito Corporation","Cooking Mama",3.07,1.91,0.07,0.57,35,7.2,21
"158","NES",1988,"Puzzle","Nintendo",5.58,NA,NA,NA,"Tetris",2.97,0.69,1.81,0.11,NA,NA,NA
"159","N64",1999,"Fighting","Nintendo",5.55,NA,NA,NA,"Super Smash Bros.",2.95,0.6,1.97,0.04,NA,NA,NA
"160","PS3",2009,"Action","Ubisoft",5.55,91,"M","Ubisoft Montreal","Assassin's Creed II",2.54,1.93,0.21,0.86,70,8.6,1202
"161","X360",2007,"Adventure","Ubisoft",5.54,81,"M","Ubisoft Montreal","Assassin's Creed",3.28,1.64,0.07,0.56,77,7.7,1074
"162","X360",2009,"Racing","Microsoft Game Studios",5.49,92,"E","Turn 10","Forza Motorsport 3",2.99,1.9,0.1,0.5,90,8,516
"163","GBA",2001,"Platform","Nintendo",5.49,84,"E","Nintendo","Super Mario Advance",3.14,1.24,0.91,0.2,19,7.8,41
"164","PSP",2008,"Role-Playing","Capcom",5.48,81,"T","Capcom","Monster Hunter Freedom Unite",0.47,0.55,4.13,0.34,48,8.7,124
"165","PS3",2011,"Action","Warner Bros. Interactive Entertainment",5.48,96,"T","Rocksteady Studios","Batman: Arkham City",2.71,1.85,0.11,0.81,42,8.6,2162
"166","XOne",2014,"Action","Take-Two Interactive",5.48,97,"M","Rockstar North","Grand Theft Auto V",2.81,2.19,0,0.47,14,7.9,764
"167","GBA",2001,"Racing","Nintendo",5.47,93,"E","Intelligent Systems","Mario Kart: Super Circuit",2.62,1.64,0.99,0.23,24,8.3,108
"168","GBA",2001,"Platform","Nintendo",5.46,NA,NA,NA,"Super Mario World",3.21,1.11,0.95,0.2,NA,NA,NA
"169","N64",1999,"Strategy","Nintendo",5.45,NA,NA,NA,"Pokemon Stadium",3.18,1.24,0.94,0.09,NA,NA,NA
"170","PS2",2001,"Platform","Universal Interactive",5.42,66,"E","Traveller's Tales","Crash Bandicoot: The Wrath of Cortex",2.07,2.29,0.24,0.82,22,7.1,156
"171","PS3",2008,"Shooter","Activision",5.39,85,"M","Treyarch","Call of Duty: World at War",2.73,1.83,0,0.83,45,7.6,409
"172","PS4",2016,"Shooter","Sony Computer Entertainment",5.38,93,"T","Naughty Dog","Uncharted 4: A Thief's End",1.85,2.5,0.19,0.85,113,7.9,7064
"173","GB",1989,"Puzzle","Nintendo",5.34,NA,NA,NA,"Dr. Mario",2.18,0.96,2,0.2,NA,NA,NA
"174","PS3",2009,"Role-Playing","Square Enix",5.33,83,"T","Square Enix","Final Fantasy XIII",1.74,1.21,1.87,0.51,83,7.3,2483
"175","GB",1999,"Misc","Nintendo",5.31,NA,NA,NA,"Pokemon Pinball",3.02,1.12,1.01,0.16,NA,NA,NA
"176","PS",2000,"Role-Playing","SquareSoft",5.3,94,"T","SquareSoft","Final Fantasy IX",1.62,0.77,2.78,0.14,22,8.9,779
"177","X360",2012,"Action","Ubisoft",5.29,84,"M","Ubisoft","Assassin's Creed III",3.13,1.69,0.03,0.44,61,6.7,1196
"178","PS2",2003,"Role-Playing","Electronic Arts",5.29,85,"T","SquareSoft","Final Fantasy X-2",1.92,1.08,2.11,0.17,45,6.6,400
"179","N64",1999,"Platform","Nintendo",5.27,NA,NA,NA,"Donkey Kong 64",3.33,0.79,1.09,0.06,NA,NA,NA
"180","XOne",2014,"Shooter","Activision",5.27,81,"M","Sledgehammer Games","Call of Duty: Advanced Warfare",3.22,1.55,0.01,0.48,53,5.4,898
"181","PS3",2014,"Misc","Sony Computer Entertainment",5.26,NA,NA,NA,"Minecraft",2.03,2.37,0,0.87,NA,NA,NA
"182","X360",2009,"Action","Ubisoft",5.26,90,"M","Ubisoft Montreal","Assassin's Creed II",3.11,1.55,0.08,0.51,82,8.8,1305
"183","PS",1997,"Action","Eidos Interactive",5.24,85,"T","Core Design Ltd.","Tomb Raider II",2.3,2.46,0.2,0.28,13,NA,NA
"184","PS2",NA,"Sports","Electronic Arts",5.23,94,"E","EA Tiburon","Madden NFL 2004",4.26,0.26,0.01,0.71,29,8.5,140
"185","3DS",2013,"Simulation","Nintendo",5.23,NA,NA,NA,"Tomodachi Life",0.97,2.11,1.9,0.24,NA,NA,NA
